id,task,status,acceptance_criteria,validation_command,completed_at,retry_count,notes
32,Document evidence gate usage,DONE,Docs describe final evidence JSON shape and command,rg -n "verify:incremental-evidence|device-evidence" README.md docs,2026-05-12T00:14:44+08:00,0,
33,Validate and commit evidence verifier phase,DONE,Checks pass and evidence verifier phase is committed,git status --short,2026-05-12T00:15:30+08:00,0,"Committed as 72a3832."
34,Add device evidence template generator,DONE,Tool creates explicit ok=false template for every remaining device evidence check,node --check tools/create-device-evidence-template.js,2026-05-12T00:18:08+08:00,0,
35,Add device evidence template tests,DONE,Tests prove generated template does not pass final evidence gate,timeout 60s npm test -- --runInBand,2026-05-12T00:19:00+08:00,0,
36,Document device evidence template usage,DONE,Docs mention evidence:device-template and ok=false behavior,rg -n "evidence:device-template|ok=false" README.md docs,2026-05-12T00:19:22+08:00,0,
37,Validate and commit device evidence template phase,DONE,Checks pass and template phase is committed,git status --short,2026-05-12T00:20:17+08:00,0,"Committed as 7dc3af8."
38,Document TauriTavern TT-Sync command contract,DONE,Contract maps tt_sync command payloads responses and required backend behavior,test -f docs/TauriTavernTtSyncCommandContract.md,2026-05-12T00:22:44+08:00,0,
39,Link command contract from docs,DONE,README and plan reference the command contract,rg -n "TauriTavernTtSyncCommandContract|command contract" README.md docs,2026-05-12T00:24:12+08:00,0,
40,Validate and commit command contract phase,DONE,Checks pass and command contract phase is committed,git status --short,2026-05-12T00:25:28+08:00,0,"Committed as 001628c."
41,Require command contract evidence in final gate,DONE,Final evidence gate requires explicit command contract verification evidence,npm test -- --runInBand,2026-05-12T00:28:37+08:00,0,
42,Update command contract evidence docs,DONE,Docs and template mention commandContractVerified evidence,rg -n "commandContractVerified|command contract verified" docs README.md tools,2026-05-12T00:28:55+08:00,0,
43,Validate and commit command contract gate phase,DONE,Checks pass and gate phase is committed,git status --short,2026-05-12T00:30:13+08:00,0,"Committed as ec6a2c7."
44,Add final evidence consistency checks,DONE,Final gate checks command source scanned files and smoke endpoint matches device evidence server URL,npm test -- --runInBand,2026-05-12T00:33:38+08:00,0,
45,Document evidence consistency requirements,DONE,Docs show device evidence server URL and consistency behavior,rg -n "server.*url|same server|command report source" docs tools,2026-05-12T00:33:58+08:00,0,
46,Validate and commit evidence consistency phase,DONE,Checks pass and consistency phase is committed,git status --short,2026-05-12T00:35:15+08:00,0,"Committed as 7858f97."
47,Add final evidence provenance checks,DONE,Final gate requires report timestamps and smoke run identifiers,npm test -- --runInBand,2026-05-12T00:38:51+08:00,0,
48,Document evidence provenance requirements,DONE,Docs describe scannedAt completedAt smokePath deviceId and planIds evidence,rg -n "scannedAt|completedAt|smokePath|planIds" README.md docs tools,2026-05-12T00:39:11+08:00,0,
49,Validate and commit evidence provenance phase,DONE,Checks pass and provenance phase is committed,git status --short,2026-05-12T00:40:16+08:00,0,"Committed as 7e2d285."
50,Split server route dispatch for metric compliance,DONE,Route handler functions satisfy local function length gate after validation,npm run check && timeout 60s npm test -- --runInBand,2026-05-12T00:44:47+08:00,0,"Committed as aed7c4a."
51,Add bulk fixture support to live smoke,DONE,Smoke verifier can push and pull multiple generated files through real HTTP,node tools/smoke-tt-sync-server.js --local --bulk-files 3 --bulk-file-bytes 128 --json,2026-05-12T00:50:54+08:00,0,
52,Require smoke fixture provenance in final evidence,DONE,Final gate requires fixture file count total bytes and smoke paths,timeout 60s npm test -- --runInBand,2026-05-12T00:50:54+08:00,0,
53,Document bulk smoke evidence,DONE,README and verification docs describe bulk smoke parameters and report fields,rg -n "bulk-files|fixture.fileCount|fixture files" README.md docs tools,2026-05-12T00:50:54+08:00,0,
54,Validate and commit bulk smoke evidence phase,DONE,Checks pass and bulk smoke evidence phase is committed,git status --short,2026-05-12T00:50:54+08:00,0,"Committed as ef8c08b."
55,Require structured device evidence fields,DONE,Final gate rejects device evidence with only ok and evidence text,timeout 60s npm test -- --runInBand,2026-05-12T00:54:57+08:00,0,
56,Update device evidence template fields,DONE,Template lists requiredFields for every device evidence check,node tools/create-device-evidence-template.js --json,2026-05-12T00:54:57+08:00,0,
57,Document structured device evidence,DONE,Verification docs show required structured fields for each device check,rg -n "required fields|structured|mtime.actualModifiedMs|blockedOperation" docs README.md tools,2026-05-12T00:54:57+08:00,0,
58,Validate and commit structured device evidence phase,DONE,Checks pass and structured device evidence phase is committed,git status --short,2026-05-12T00:54:57+08:00,0,"Committed as f4e8cc3."
59,Add TT-Sync deployment verifier,DONE,Tool validates systemd unit env keys writable data dir and placeholder token policy,node tools/verify-tt-sync-deploy.js --allow-placeholders --json,2026-05-12T00:59:14+08:00,0,
60,Add deployment env template and tests,DONE,Env template validates only with explicit placeholder allowance and tests reject placeholder for real env,timeout 60s npm test -- --runInBand,2026-05-12T00:59:14+08:00,0,
61,Document deployment verifier,DONE,README Minimal server docs and verification docs mention verify:tt-sync-deploy,rg -n "verify:tt-sync-deploy|manual-cloud-tt-sync.env.example" README.md docs package.json,2026-05-12T00:59:14+08:00,0,
62,Validate and commit deployment verifier phase,DONE,Checks pass and deployment verifier phase is committed,git status --short,2026-05-12T00:59:14+08:00,0,"Committed as be67539."
63,Use direct Node ExecStart for systemd service,DONE,Systemd unit avoids npm wrapper and deploy verifier enforces direct Node server startup,node tools/verify-tt-sync-deploy.js --allow-placeholders --json,2026-05-12T01:01:39+08:00,0,
64,Validate and commit systemd direct start phase,DONE,Checks pass and direct Node systemd phase is committed,git status --short,2026-05-12T01:01:39+08:00,0,"Committed as b573fd7."
65,Add verification docs coverage test,DONE,Tests ensure command contract docs and verification docs include required command and device fields,timeout 60s npm test -- --runInBand,2026-05-12T01:04:13+08:00,0,
66,Validate and commit verification docs coverage phase,DONE,Checks pass and docs coverage phase is committed,git status --short,2026-05-12T01:04:13+08:00,0,"Committed as bc16007."
67,Require deploy report in final evidence gate,DONE,Final gate requires real env deploy report without placeholder allowance,timeout 60s npm test -- --runInBand,2026-05-12T01:08:12+08:00,0,
68,Record deploy verifier placeholder mode,DONE,Deploy report includes allowPlaceholders for final gate enforcement,node tools/verify-tt-sync-deploy.js --allow-placeholders --json,2026-05-12T01:08:12+08:00,0,
69,Document deploy evidence requirement,DONE,README and verification docs include --deploy final evidence input,rg -n "--deploy|deploy report" README.md docs tools,2026-05-12T01:08:12+08:00,0,
70,Validate and commit deploy final gate phase,DONE,Checks pass and deploy final gate phase is committed,git status --short,2026-05-12T01:08:12+08:00,0,"Committed as c4fe37c."
71,Require deploy smoke endpoint consistency,DONE,Final gate compares deploy publicUrl with remote smoke endpoint,timeout 60s npm test -- --runInBand,2026-05-12T01:10:40+08:00,0,
72,Validate and commit deploy smoke consistency phase,DONE,Checks pass and deploy smoke consistency phase is committed,git status --short,2026-05-12T01:10:40+08:00,0,"Committed as b586762."
73,Require device command evidence to match command report,DONE,Final gate compares command report source and scannedAt with device command evidence,timeout 60s npm test -- --runInBand,2026-05-12T01:13:04+08:00,0,
74,Validate and commit command evidence consistency phase,DONE,Checks pass and command evidence consistency phase is committed,git status --short,2026-05-12T01:13:04+08:00,0,"Committed as 8000bd2."
75,Require device ids in device evidence,DONE,Final gate requires Android and desktop device records to include deviceId,timeout 60s npm test -- --runInBand,2026-05-12T01:16:44+08:00,0,
76,Validate and commit device id evidence phase,DONE,Checks pass and device id evidence phase is committed,git status --short,2026-05-12T01:16:44+08:00,0,"Committed as a874f80."
77,Require mtime and interruption hash consistency,DONE,Final gate rejects mtime expected/actual mismatch and interruption hash changes,timeout 60s npm test -- --runInBand,2026-05-12T01:21:23+08:00,0,
78,Validate and commit mtime hash consistency phase,DONE,Checks pass and mtime/hash consistency phase is committed,git status --short,2026-05-12T01:21:23+08:00,0,"Committed as a1fcdc9."
79,Require trusted command scan evidence,DONE,Verifier ignores docs-only command strings and reports trusted command evidence kinds,timeout 60s npm test -- --runInBand,2026-05-12T01:28:02+08:00,0,
80,Require final gate trusted command evidence,DONE,Final evidence gate rejects command reports with untrusted evidence kinds,timeout 60s npm test -- --runInBand,2026-05-12T01:28:02+08:00,0,
81,Document trusted command evidence rules,DONE,README and verification docs describe trusted evidence and ignoredFiles behavior,rg -n "trusted command evidence|ignoredFiles|可信 build artifact" README.md docs/TauriTavernTtSyncVerification.md,2026-05-12T01:28:02+08:00,0,
82,Validate and commit trusted command evidence phase,DONE,Checks pass and trusted command evidence phase is committed,git status --short,2026-05-12T01:28:02+08:00,0,"Committed as b81ed17."
83,Require smoke server version evidence,DONE,Final evidence gate requires remote smoke report status.version,timeout 60s npm test -- --runInBand,2026-05-12T01:30:32+08:00,0,
84,Document smoke server version evidence,DONE,README and verification docs mention smoke status.version requirement,rg -n "status.version" README.md docs/TauriTavernTtSyncVerification.md,2026-05-12T01:30:32+08:00,0,
85,Validate and commit smoke version gate phase,DONE,Checks pass and smoke version gate phase is committed,git status --short,2026-05-12T01:30:32+08:00,0,"Committed as 37df49d."
86,Require command contract report fields,DONE,Device evidence requires commandContractVerified contract.reportId and contract.commands,timeout 60s npm test -- --runInBand,2026-05-12T01:33:51+08:00,0,
87,Require command contract coverage,DONE,Final evidence gate rejects contract.commands missing any required tt_sync command,timeout 60s npm test -- --runInBand,2026-05-12T01:33:51+08:00,0,
88,Document command contract coverage evidence,DONE,README and verification docs show commandContractVerified contract fields,rg -n "contract.commands|contract.reportId" README.md docs/TauriTavernTtSyncVerification.md,2026-05-12T01:33:51+08:00,0,
89,Validate and commit command contract coverage phase,DONE,Checks pass and command contract coverage phase is committed,git status --short,2026-05-12T01:33:51+08:00,0,"Committed as 6aeda22."
90,Require progress transfer metrics evidence,DONE,Device evidence requires progress files bytes current path event count and phase,timeout 60s npm test -- --runInBand,2026-05-12T01:36:19+08:00,0,
91,Add progress metrics negative test,DONE,Final gate rejects live progress evidence missing transfer metrics,timeout 60s npm test -- --runInBand,2026-05-12T01:36:19+08:00,0,
92,Document progress transfer metrics evidence,DONE,README and verification docs show progress bytes files and current path evidence,rg -n "progress.*bytesTransferred|progress evidence" README.md docs/TauriTavernTtSyncVerification.md,2026-05-12T01:36:19+08:00,0,
93,Validate and commit progress metrics phase,DONE,Checks pass and progress metrics phase is committed,git status --short,2026-05-12T01:36:19+08:00,0,"Committed as ca75994."
94,Require pairing saved server URLs,DONE,Device evidence requires phone and desktop savedServerUrl plus restartVerifiedAt,timeout 60s npm test -- --runInBand,2026-05-12T01:38:26+08:00,0,
95,Check pairing saved URLs match server,DONE,Final gate rejects phone or desktop saved server URL mismatch,timeout 60s npm test -- --runInBand,2026-05-12T01:38:26+08:00,0,
96,Document pairing persistence evidence,DONE,README and verification docs show pairing saved URL and restart evidence,rg -n "savedServerUrl|restartVerifiedAt|pairing evidence" README.md docs/TauriTavernTtSyncVerification.md,2026-05-12T01:38:26+08:00,0,
97,Validate and commit pairing persistence gate,DONE,Checks pass and pairing persistence gate is committed,git status --short,2026-05-12T01:38:26+08:00,0,"Committed as 8cf0e2e."
98,Require bidirectional mutex evidence,DONE,Device evidence requires LAN-active blocks cloud sync and cloud-active blocks LAN sync fields,timeout 60s npm test -- --runInBand,2026-05-12T01:41:02+08:00,0,
99,Add mutex negative test,DONE,Final gate rejects mutex evidence missing either blocking direction,timeout 60s npm test -- --runInBand,2026-05-12T01:41:02+08:00,0,
100,Document bidirectional mutex evidence,DONE,README and verification docs show both mutex blocking directions,rg -n "cloudWhileLanBlockedOperation|lanWhileCloudBlockedOperation|mutex evidence" README.md docs/TauriTavernTtSyncVerification.md,2026-05-12T01:41:02+08:00,0,
101,Validate and commit bidirectional mutex phase,DONE,Checks pass and bidirectional mutex phase is committed,git status --short,2026-05-12T01:41:02+08:00,0,"Committed as a7eead7."
102,Require traceable Android weak-network evidence,DONE,Device evidence requires Android operation errorCode capturedAt networkProfile and visibleError,timeout 60s npm test -- --runInBand,2026-05-12T01:43:17+08:00,0,
103,Add Android weak-network negative test,DONE,Final gate rejects Android weak-network evidence missing errorCode,timeout 60s npm test -- --runInBand,2026-05-12T01:43:17+08:00,0,
104,Document Android weak-network trace fields,DONE,README and verification docs show operation errorCode and capturedAt,rg -n "errorCode|capturedAt|弱網路 evidence" README.md docs/TauriTavernTtSyncVerification.md,2026-05-12T01:43:17+08:00,0,
105,Validate and commit Android weak-network phase,DONE,Checks pass and Android weak-network phase is committed,git status --short,2026-05-12T01:43:17+08:00,0,"Committed as b746d3f."
106,Require 300MiB large sync evidence,DONE,Final gate requires realLargeFirstSyncCompleted totalBytes at least 300MiB,timeout 60s npm test -- --runInBand,2026-05-12T01:46:42+08:00,0,
107,Add undersized large sync negative test,DONE,Final gate rejects large sync evidence below 300MiB,timeout 60s npm test -- --runInBand,2026-05-12T01:46:42+08:00,0,
108,Document large sync byte target,DONE,README and verification docs mention at least 300MiB large sync evidence,rg -n "300MiB|large sync evidence" README.md docs/TauriTavernTtSyncVerification.md,2026-05-12T01:46:42+08:00,0,
109,Validate and commit large sync evidence phase,DONE,Checks pass and large sync evidence phase is committed,git status --short,2026-05-12T01:46:42+08:00,0,"Committed as ce184d6."
110,Require pull mtime path evidence,DONE,Device evidence requires pullMtimePreserved mtime.path in addition to expected and actual mtime,timeout 60s npm test -- --runInBand,2026-05-12T01:49:12+08:00,0,
111,Require pull interruption run evidence,DONE,Device evidence requires pullInterruptionSafe interruption.path and interruption.runId,timeout 60s npm test -- --runInBand,2026-05-12T01:49:12+08:00,0,
112,Document pull traceability evidence,DONE,README and verification docs show pull mtime path plus interruption path/runId,rg -n "mtime.path|interruption.runId|Pull mtime evidence" README.md docs/TauriTavernTtSyncVerification.md,2026-05-12T01:49:12+08:00,0,
113,Validate and commit pull traceability phase,DONE,Checks pass and pull traceability phase is committed,git status --short,2026-05-12T01:49:12+08:00,0,"Committed as ab4fe05."
114,Require deploy check pass state,DONE,Final evidence rejects deploy reports where required check entries are present but ok=false,timeout 60s npm test -- --runInBand,2026-05-12T01:53:18+08:00,0,
115,Require smoke check pass state,DONE,Final evidence rejects smoke reports where required check entries are present but ok=false,timeout 60s npm test -- --runInBand,2026-05-12T01:53:18+08:00,0,
116,Emit explicit smoke check ok flags,DONE,Smoke verifier reports every passed check with ok=true,node tools/smoke-tt-sync-server.js --local --json,2026-05-12T01:53:18+08:00,0,
117,Validate and commit required check state phase,DONE,Checks pass and required check state phase is committed,git status --short,2026-05-12T01:54:32+08:00,0,"Committed as 8439328."
118,Require report checks have details,DONE,Deploy and smoke report checks must include name detail and ok=true,timeout 60s npm test -- --runInBand,2026-05-12T01:56:58+08:00,0,
119,Reject failed extra report checks,DONE,Final evidence rejects deploy or smoke reports with any failed check entry,timeout 60s npm test -- --runInBand,2026-05-12T01:56:58+08:00,0,
120,Document report check detail requirement,DONE,README and verification docs mention ok=true and detail requirements,rg -n "detail" README.md docs/TauriTavernTtSyncVerification.md,2026-05-12T01:56:58+08:00,0,
121,Validate and commit report check detail phase,DONE,Checks pass and report check detail phase is committed,git status --short,2026-05-12T01:57:32+08:00,0,"Committed as b2e7921."
122,Reject duplicate manifest paths,DONE,Manifest normalization rejects duplicate file paths instead of silently keeping the last entry,timeout 60s npm test -- --runInBand,2026-05-12T02:00:07+08:00,0,
123,Reject non-integer modifiedMs,DONE,Manifest normalization rejects non-integer modifiedMs values,timeout 60s npm test -- --runInBand,2026-05-12T02:00:07+08:00,0,
124,Document manifest boundary rules,DONE,Incremental sync plan documents unique paths and integer modifiedMs,rg -n "unique|modifiedMs" docs/IncrementalCloudSyncPlan.md,2026-05-12T02:00:07+08:00,0,
125,Split oversized test runner,DONE,server/test/run-tests.js is under 600 lines and verifier tests run from their own file,npm test -- --runInBand,2026-05-12T02:02:02+08:00,0,
126,Validate and commit manifest boundary phase,DONE,Checks pass and manifest boundary phase is committed,git status --short,2026-05-12T02:02:40+08:00,0,"Committed as dadae9f."
127,Add protected endpoint auth tests,DONE,Session and device endpoints reject missing bearer tokens,timeout 60s npm test -- --runInBand,2026-05-12T02:04:26+08:00,0,
128,Validate auth negative coverage,DONE,Checks pass and auth negative test stays within size limits,git diff --check,2026-05-12T02:04:26+08:00,0,
129,Commit auth negative coverage phase,DONE,Auth negative coverage phase is committed,git status --short,2026-05-12T02:04:54+08:00,0,"Committed as 5cb2db4."
130,Require parseable evidence timestamps,DONE,Final evidence rejects invalid timestamp strings in report and device evidence,timeout 60s npm test -- --runInBand,2026-05-12T02:06:42+08:00,0,
131,Document timestamp requirement,DONE,README and verification docs mention parseable timestamp fields,rg -n "timestamp" README.md docs/TauriTavernTtSyncVerification.md,2026-05-12T02:06:42+08:00,0,
132,Validate and commit timestamp evidence phase,DONE,Checks pass and timestamp evidence phase is committed,git status --short,2026-05-12T02:07:19+08:00,0,"Committed as 932eb9c."
133,Require source command handler evidence,DONE,TauriTavern source command reports require declaration and handler registration per command,timeout 60s npm test -- --runInBand,2026-05-12T02:10:38+08:00,0,
134,Require final gate command evidence coverage,DONE,Final evidence rejects source command evidence missing handler registration,timeout 60s npm test -- --runInBand,2026-05-12T02:10:38+08:00,0,
135,Document command evidence coverage rule,DONE,README and verification docs mention source declaration plus handler requirement,rg -n "handler" README.md docs/TauriTavernTtSyncVerification.md,2026-05-12T02:10:38+08:00,0,
136,Validate and commit command handler evidence phase,DONE,Checks pass and command handler evidence phase is committed,git status --short,2026-05-12T02:11:16+08:00,0,"Committed as 4e7fea8."
137,Emit command report source kind,DONE,verify-tauritavern reports whether source is source-tree source-file or build-artifact,timeout 60s npm test -- --runInBand,2026-05-12T02:16:50+08:00,0,
138,Validate source kind evidence compatibility,DONE,Final evidence requires command evidence kinds compatible with command report sourceKind,timeout 60s npm test -- --runInBand,2026-05-12T02:16:50+08:00,0,
139,Document command report source kind,DONE,README and verification docs mention sourceKind compatibility,rg -n "sourceKind|source kind" README.md docs/TauriTavernTtSyncVerification.md,2026-05-12T02:16:50+08:00,0,
140,Validate and commit source kind phase,DONE,Checks pass and source kind phase is committed,git status --short,2026-05-12T02:17:16+08:00,0,"Committed as ab844d7."
141,Add smoke server id provenance,DONE,Remote smoke report includes serverId from pairing response,timeout 60s npm test -- --runInBand,2026-05-12T02:21:33+08:00,0,
142,Compare saved server ids,DONE,Final evidence rejects phone or desktop savedServerId mismatch with smoke serverId,timeout 60s npm test -- --runInBand,2026-05-12T02:21:33+08:00,0,
143,Document saved server id consistency,DONE,README and verification docs mention savedServerId must match smoke serverId,rg -n "serverId" README.md docs/TauriTavernTtSyncVerification.md,2026-05-12T02:21:33+08:00,0,
144,Validate and commit server id consistency phase,DONE,Checks pass and server id consistency phase is committed,git status --short,2026-05-12T02:22:15+08:00,0,"Committed as cb816d2."
145,Add frontend TT-Sync contract tests,DONE,Tool tests assert required UI ids command names and TT-Sync frontend wiring,npm test -- --runInBand,2026-05-12T02:24:58+08:00,0,
146,Validate frontend contract phase,DONE,Checks pass and frontend test files stay within size limits,git diff --check,2026-05-12T02:25:45+08:00,0,
147,Commit frontend contract phase,DONE,Frontend contract phase is committed,git status --short,2026-05-12T02:26:16+08:00,0,"Committed as ae2cd5d."
148,Add TT-Sync missing-command error tests,DONE,Frontend tests prove missing tt_sync backend commands show explicit no-mock error,node tools/test/frontend-tt-sync-run-tests.js,2026-05-12T02:29:35+08:00,0,
149,Validate missing-command error phase,DONE,Checks pass and changed files stay within size and function limits,timeout 60s npm test -- --runInBand,2026-05-12T02:30:35+08:00,0,
150,Update progress for missing-command phase,DONE,PROGRESS.md records the validation and residual external evidence boundary,tail -n 20 .codex-tasks/20260511-incremental-cloud-sync/PROGRESS.md,2026-05-12T02:31:00+08:00,0,
151,Commit missing-command error phase,DONE,Missing-command frontend error phase is committed,git status --short,2026-05-12T02:31:39+08:00,0,"Committed as 3ca1aa1."
152,Audit plan open questions,DONE,Completion audit identifies which plan open questions are resolved versus externally blocked,rg -n "開放問題|外部驗證入口" docs/IncrementalCloudSyncPlan.md,2026-05-12T02:33:16+08:00,0,
153,Update plan decision record,DONE,IncrementalCloudSyncPlan records answered decisions and keeps only external validation dependency unresolved,rg -n "決策紀錄|仍需外部" docs/IncrementalCloudSyncPlan.md,2026-05-12T02:34:19+08:00,0,
154,Validate decision record phase,DONE,Docs and tests pass after plan status update,timeout 60s npm test -- --runInBand,2026-05-12T02:35:06+08:00,0,
155,Commit decision record phase,DONE,Decision record phase is committed,git status --short,2026-05-12T02:35:44+08:00,0,"Committed as 09611c0."
156,Audit pairing URI parse errors,DONE,Completion audit identifies invalid pairing URI should produce explicit 400 instead of generic 500,rg -n "pairingBodyFromUri|readJsonBody" server/lib/routes.js,2026-05-12T02:38:32+08:00,0,
157,Add pairing URI bad-request coverage,DONE,Server tests cover malformed and wrong-scheme pairing URIs with 400 errors,timeout 60s npm test -- --runInBand,2026-05-12T02:38:32+08:00,0,
158,Validate pairing URI phase,DONE,Checks pass and size/function limits remain satisfied,git diff --check,2026-05-12T02:39:08+08:00,0,
159,Commit pairing URI phase,DONE,Pairing URI error handling phase is committed,git status --short,2026-05-12T02:39:48+08:00,0,"Committed as 54a25a1."
160,Run final local smoke audit,DONE,Latest server changes still pass local HTTP smoke; remaining unmet requirements are external evidence,node tools/smoke-tt-sync-server.js --local --json,2026-05-12T02:40:45+08:00,0,
161,Audit bundle contentBase64 fallback,DONE,Completion audit identifies bundle upload must not treat missing or invalid contentBase64 as empty content,rg -n "contentBase64|stageUploadBundle" server/lib/routes.js server/lib/storage.js,2026-05-12T02:43:58+08:00,0,
162,Add bundle contentBase64 negative tests,DONE,Server tests fail before fix when missing or invalid bundle contentBase64 is accepted,timeout 60s node server/test/run-tests.js,2026-05-12T02:43:58+08:00,0,
163,Validate strict bundle contentBase64 phase,DONE,Checks pass and size/function limits remain satisfied,timeout 60s npm test -- --runInBand,2026-05-12T02:44:39+08:00,0,
164,Commit strict bundle contentBase64 phase,DONE,Bundle contentBase64 validation phase is committed,git status --short,2026-05-12T02:45:31+08:00,0,"Committed as 72a0342."
165,Run post-bundle local smoke audit,DONE,Latest upload validation still passes local HTTP smoke,node tools/smoke-tt-sync-server.js --local --json,2026-05-12T02:46:04+08:00,0,
